yaw,pitch,legibile,size,label
53.81,-48.67,FALSE,122.9,0
-37.24,18.26,TRUE,46.1,1
-13.15,15.79,FALSE,6.5,0
42.47,19.91,FALSE,10.6,0
-41.13,-24.11,FALSE,75.3,0
1.68,-12.52,TRUE,122.9,1
45.42,1.8,FALSE,17.3,0
-44.75,-34.59,FALSE,28.3,0
21.25,-36.82,TRUE,201,1
43.36,-47.02,FALSE,10.6,0
-51.34,36.41,FALSE,17.3,0
-23.06,40.38,FALSE,28.3,0
53.59,27.64,FALSE,75.3,0
-48.66,-15.39,FALSE,28.3,0
-18.24,-1.78,TRUE,46.1,1
40.03,-21.12,TRUE,46.1,1
-30.8,-32.88,FALSE,6.5,0
-11.69,-46.57,FALSE,6.5,0
28.87,-52.01,FALSE,46.1,0
-42.02,15.89,FALSE,17.3,0
21.28,31.67,FALSE,10.6,0
32.59,30.83,FALSE,201,0
-52.83,0.59,FALSE,6.5,0
16.71,5.33,TRUE,10.6,1
35.85,-12.84,TRUE,46.1,1
-53.02,-47.74,FALSE,46.1,0
-9.55,-42.88,FALSE,10.6,0
36.27,-36.29,FALSE,28.3,0
-53.84,24.24,FALSE,75.3,0
-0.16,19.32,FALSE,17.3,0
26.83,38.08,FALSE,46.1,0
-45.84,-7.5,FALSE,46.1,0
4.24,7.2,TRUE,46.1,1
40.42,-16.98,FALSE,17.3,0
-48.62,-31.83,FALSE,46.1,0
-17.97,-47.23,FALSE,201,0
43.88,-49.47,FALSE,201,0
-50.91,33.7,FALSE,46.1,0
-21.55,31.41,TRUE,201,1
43.88,39.96,FALSE,28.3,0
-30.72,-13.17,FALSE,17.3,0
-13.74,-7.71,TRUE,201,1
47.63,-18.36,FALSE,10.6,0
-45.03,-44.35,TRUE,201,1
21.57,-44.39,TRUE,122.9,1
44.86,-34.63,TRUE,201,1
-47.14,43.08,FALSE,17.3,0
21.18,33.8,TRUE,201,1
47.65,22.1,FALSE,201,0
-37.66,-15.18,FALSE,17.3,0
23.11,-23.07,TRUE,122.9,1
54.72,-28.38,FALSE,6.5,0
-38.08,-50.34,FALSE,17.3,0
-17.19,-48.69,FALSE,10.6,0
41.8,-42.01,FALSE,10.6,0
-52.87,35.11,FALSE,17.3,0
10.79,29.26,FALSE,6.5,0
43.37,18.73,FALSE,46.1,0
-43.63,4.84,FALSE,17.3,0
-7.32,0.34,TRUE,201,1
46.71,9.97,FALSE,10.6,0
-40.32,-33.62,FALSE,28.3,0
-13.31,-39.26,FALSE,28.3,0
46.87,-35.86,FALSE,75.3,0
-40.18,14.74,TRUE,46.1,1
-13.19,27.04,TRUE,46.1,1
39.72,34.9,FALSE,17.3,0
-29.86,-24.86,FALSE,6.5,0
6.78,-25.51,FALSE,17.3,0
49.64,-3.48,TRUE,122.9,1
-32.6,-41.76,FALSE,28.3,0
9.56,-36.56,TRUE,122.9,1
46.35,-48.78,FALSE,75.3,0
-41.21,37.15,FALSE,6.5,0
19.92,24.3,FALSE,28.3,0
53.79,15.76,FALSE,10.6,0
-45.07,-10.87,FALSE,10.6,0
-22.52,-10.5,TRUE,28.3,1
49.76,0.04,FALSE,17.3,0
-36.55,-45.2,FALSE,201,0
19.85,-32.83,TRUE,75.3,1
45.5,-39.02,TRUE,75.3,1
-53.86,30.87,FALSE,75.3,0
-1.7,31.5,TRUE,122.9,1
44.58,20.33,FALSE,201,0
-48.85,-6.65,TRUE,201,1
-20.55,-8.76,TRUE,201,1
46.55,5.5,FALSE,6.5,0
-47.5,-49.07,FALSE,6.5,0
9.73,-49.68,FALSE,6.5,0
49.8,-35.66,FALSE,6.5,0
-52.75,23.09,FALSE,46.1,0
5.98,32.98,FALSE,10.6,0
30.38,21.59,FALSE,10.6,0
-53.79,-20.21,FALSE,28.3,0
11.61,-15,TRUE,10.6,1
50.37,-17.6,FALSE,75.3,0
-45.6,-37.15,FALSE,122.9,0
9.79,-46.47,FALSE,6.5,0
52.82,-49.18,FALSE,17.3,0
-53.46,30.01,FALSE,28.3,0
21.27,31.35,FALSE,28.3,0
30.08,30.31,TRUE,75.3,1
-32.35,-24.63,TRUE,28.3,1
-12.14,-17.49,TRUE,46.1,1
35.03,-12.93,TRUE,46.1,1
-41.92,-49.15,FALSE,17.3,0
4.26,-43.25,TRUE,122.9,1
49.66,-35.39,FALSE,28.3,0
-47.54,34.57,FALSE,46.1,0
-7.56,28.71,TRUE,75.3,1
44.38,38.74,FALSE,6.5,0
-53.97,-12.04,FALSE,75.3,0
16.51,-9.44,TRUE,201,1
47.95,-2.36,FALSE,10.6,0
-45.8,-39.89,FALSE,122.9,0
-13.8,-48.21,FALSE,201,0
35.72,-51.54,FALSE,17.3,0
-48.45,19.94,FALSE,46.1,0
-17.4,31.21,FALSE,10.6,0
47.66,21.06,TRUE,122.9,1
-36.82,0.16,TRUE,28.3,1
-18.45,6.11,TRUE,28.3,1
38.86,2.54,FALSE,10.6,0
-51.52,-44.48,FALSE,46.1,0
2.74,-49.07,FALSE,17.3,0
35.24,-36.46,FALSE,10.6,0
-31.07,19.56,TRUE,75.3,1
18.63,18.74,FALSE,10.6,0
42.28,16.28,TRUE,122.9,1
-32.85,-8.06,TRUE,28.3,1
15.67,-18.34,TRUE,201,1
31.57,4.81,TRUE,75.3,1
-44.81,-49.34,FALSE,201,0
1.17,-49.88,FALSE,10.6,0
45.51,-35.72,FALSE,28.3,0
-34.14,37.92,FALSE,122.9,0
-9.33,16.11,TRUE,122.9,1
49.73,23.74,FALSE,75.3,0
-35.6,-5.56,TRUE,46.1,1
-21.52,-5.41,TRUE,6.5,1
53.89,-7.6,FALSE,46.1,0
-53.06,-43.42,FALSE,28.3,0
-17.82,-36.7,TRUE,75.3,1
36.8,-32.3,FALSE,17.3,0
-47.43,32.8,FALSE,28.3,0
