Feature,Coefficient,Abs_Coefficient
y_theta_up,6.8997869454214955,6.8997869454214955
x_theta_left,6.34793663447168,6.34793663447168
x_theta_right,5.843531486304979,5.843531486304979
TextSize,-5.300178710656949,5.300178710656949
y_theta_down,4.13903405919827,4.13903405919827
